ct_sc_pipeline	average_percent_overlap	sd_percent_overlap	n_pairs
oligodendrocyte	89.8980621563451	8.979090052511728	8
oligodendrocyte.precursor.cell	89.84830291253482	8.369822538454795	8
vip.GABAergic.cortical.interneuron	82.94143792161984	9.036177967591463	7
astrocyte	81.20443847447207	9.130979100281833	8
pvalb.GABAergic.cortical.interneuron	71.5653146693637	29.834451880561694	8
chandelier.pvalb.GABAergic.cortical.interneuron	65.81771065433462	35.27712117144324	6
sncg.GABAergic.cortical.interneuron	58.42723738525365	19.942061828586503	7
lamp5.GABAergic.cortical.interneuron	48.244848315147756	21.296241506207455	12
PAX6.GABAergic.cortical.interneuron	47.17952176657307	32.17937691197289	7
sst.GABAergic.cortical.interneuron	43.703246969306115	38.910223123581744	12
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	42.08862523565823	25.65651297593852	40
microglial.cell	31.799208709898828	29.45358335885395	16
deep.layer.non.IT	28.084889343584976	22.541328630448685	29
vascular	25.520625831405194	28.96125259649242	24
