ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
vascular.leptomeningeal.cell	Micro	0.4467252859712519	0.30848059277698164
vascular.leptomeningeal.cell	Sst	0.4907117153956976	0.3107038197032676
vascular.leptomeningeal.cell	Pax6	0.46456320648160715	0.349858053869075
vascular.leptomeningeal.cell	VLMC	0.4629381750044924	0.4146901131238963
vascular.leptomeningeal.cell	Vip	0.49188077973265165	0.28311915598418325
vascular.leptomeningeal.cell	L5_ET	0.3911549901246544	0.2666428342193184
vascular.leptomeningeal.cell	L2.3_IT	0.47826731518588433	0.2714190258271355
vascular.leptomeningeal.cell	Endo	0.449718606482912	0.526029707139999
vascular.leptomeningeal.cell	Astro	0.42905118155474825	0.3250392292902992
vascular.leptomeningeal.cell	Chandelier	0.468624280206174	0.3338069068687801
vascular.leptomeningeal.cell	OPC	0.4899906723377363	0.33922814673647245
vascular.leptomeningeal.cell	Lamp5_Lhx6	0.4679635567852673	0.3192526517682041
vascular.leptomeningeal.cell	Immune	0.21546026918439745	0.3159178105903395
vascular.leptomeningeal.cell	PC	0.6196223324429937	0.6343309698503897
vascular.leptomeningeal.cell	Oligo	0.4006818904459662	0.32293186934843426
vascular.leptomeningeal.cell	L6_CT	0.47219778728051065	0.31442638782169124
vascular.leptomeningeal.cell	Sncg	0.4484490177945288	0.303102555008466
vascular.leptomeningeal.cell	L6_IT_Car3	0.48751161086957273	0.366989555673913
vascular.leptomeningeal.cell	L5.6_NP	0.47927116951831283	0.3080300096531881
vascular.leptomeningeal.cell	SMC	0.5547184918397763	0.4775349852366924
vascular.leptomeningeal.cell	Sst_Chodl	0.2868604074176499	0.21244367546016793
vascular.leptomeningeal.cell	Pvalb	0.4781720529454154	0.3151990503636564
vascular.leptomeningeal.cell	L6_IT	0.4742793880526114	0.2658076729306989
vascular.leptomeningeal.cell	L5_IT	0.4856061760556185	0.2739702311549023
vascular.leptomeningeal.cell	Lamp5	0.4996191468982133	0.3165693915504917
