ct_sc_pipeline	ct_author	spearman_log2FoldChange	spearman_pvalue
vascular.leptomeningeal.cell	Micro	0.1937241561448883	0.26330886941903103
vascular.leptomeningeal.cell	Sst	0.43381817467687567	0.30340555300529387
vascular.leptomeningeal.cell	Pax6	0.19570931023146568	0.17093567017998765
vascular.leptomeningeal.cell	VLMC	0.45916651466763664	0.3839652721592688
vascular.leptomeningeal.cell	Vip	0.4943876268158506	0.3378043568932519
vascular.leptomeningeal.cell	L5_ET	-0.0012904961542005587	0.1700992557135102
vascular.leptomeningeal.cell	L2.3_IT	0.49282334892309704	0.3389973292500227
vascular.leptomeningeal.cell	Endo	0.702419992763795	0.5040549938629892
vascular.leptomeningeal.cell	Astro	0.5508534976978837	0.3424067035807649
vascular.leptomeningeal.cell	Chandelier	0.41773130942754494	0.3369621188914303
vascular.leptomeningeal.cell	OPC	0.3523051615430907	0.3037509202389797
vascular.leptomeningeal.cell	Lamp5_Lhx6	0.4319002253563923	0.31241503758231576
vascular.leptomeningeal.cell	Immune	0.296003128528862	0.3010097191044227
vascular.leptomeningeal.cell	PC	0.824619364531041	0.7050363402936327
vascular.leptomeningeal.cell	Oligo	0.16278885331248028	0.1798502712991549
vascular.leptomeningeal.cell	L6_CT	0.4536651441282103	0.3344210907360953
vascular.leptomeningeal.cell	Sncg	0.43411278873168635	0.3283138564464302
vascular.leptomeningeal.cell	L6_IT_Car3	0.456684811453031	0.3660481596554756
vascular.leptomeningeal.cell	L5.6_NP	0.4766304624995828	0.364643131044148
vascular.leptomeningeal.cell	SMC	0.7695214323288587	0.5227816292360071
vascular.leptomeningeal.cell	Sst_Chodl	0.2378057021127331	0.11582947554291595
vascular.leptomeningeal.cell	Pvalb	0.5057996125164197	0.3426272344208927
vascular.leptomeningeal.cell	L6_IT	0.5288766222208869	0.35570922535460126
vascular.leptomeningeal.cell	L5_IT	0.5385074123917187	0.364381371978876
vascular.leptomeningeal.cell	Lamp5	0.42269584777239716	0.3199211771826659
vascular.leptomeningeal.cell	L6b	0.4616819328582193	0.36686618278083294
vascular.leptomeningeal.cell	L4_IT	0.5010726415367023	0.35561135360190604
sst.GABAergic.cortical.interneuron	Micro	0.322363218784064	0.34374938938702276
sst.GABAergic.cortical.interneuron	Sst	0.9432211528797568	0.9079249486821688
sst.GABAergic.cortical.interneuron	Pax6	0.38542479778677813	0.38954690785801255
sst.GABAergic.cortical.interneuron	VLMC	0.4407282290871838	0.2996498506877517
sst.GABAergic.cortical.interneuron	Vip	0.7227522158188693	0.6908406664761608
sst.GABAergic.cortical.interneuron	L5_ET	0.2151898040935441	0.3285759049318204
sst.GABAergic.cortical.interneuron	L2.3_IT	0.5745521792079253	0.5760622506521008
sst.GABAergic.cortical.interneuron	Endo	0.37972231985339683	0.185366555677029
sst.GABAergic.cortical.interneuron	Astro	0.3850786156081673	0.4283626971251828
sst.GABAergic.cortical.interneuron	Chandelier	0.6254692993431445	0.5831740725059706
sst.GABAergic.cortical.interneuron	OPC	0.4695534571642137	0.45064356018730606
