ct_sc_pipeline	ct_author	percent_overlap
vascular.leptomeningeal.cell	Micro	65.38461538461539
vascular.leptomeningeal.cell	Sst	47.22222222222222
vascular.leptomeningeal.cell	Pax6	69.56521739130434
vascular.leptomeningeal.cell	VLMC	63.1578947368421
vascular.leptomeningeal.cell	Vip	45.945945945945944
vascular.leptomeningeal.cell	L5_ET	53.84615384615385
vascular.leptomeningeal.cell	L2.3_IT	26.153846153846153
vascular.leptomeningeal.cell	Endo	73.6842105263158
vascular.leptomeningeal.cell	Astro	36.734693877551024
vascular.leptomeningeal.cell	Chandelier	55.55555555555556
vascular.leptomeningeal.cell	OPC	57.57575757575758
vascular.leptomeningeal.cell	Lamp5_Lhx6	60.714285714285715
vascular.leptomeningeal.cell	Immune	57.89473684210526
vascular.leptomeningeal.cell	PC	84.21052631578948
vascular.leptomeningeal.cell	Oligo	50.0
vascular.leptomeningeal.cell	L6_CT	2.370990237099024
vascular.leptomeningeal.cell	Sncg	57.69230769230769
vascular.leptomeningeal.cell	L6_IT_Car3	5.859375
vascular.leptomeningeal.cell	L5.6_NP	50.0
vascular.leptomeningeal.cell	SMC	57.89473684210526
vascular.leptomeningeal.cell	Sst_Chodl	70.58823529411765
vascular.leptomeningeal.cell	Pvalb	38.095238095238095
vascular.leptomeningeal.cell	L6_IT	36.95652173913044
vascular.leptomeningeal.cell	L5_IT	20.73170731707317
vascular.leptomeningeal.cell	Lamp5	39.53488372093023
vascular.leptomeningeal.cell	L6b	50.0
vascular.leptomeningeal.cell	L4_IT	37.2093023255814
sst.GABAergic.cortical.interneuron	Micro	50.0
sst.GABAergic.cortical.interneuron	Sst	91.42857142857143
sst.GABAergic.cortical.interneuron	Pax6	60.60606060606061
sst.GABAergic.cortical.interneuron	VLMC	32.35294117647059
sst.GABAergic.cortical.interneuron	Vip	62.7906976744186
sst.GABAergic.cortical.interneuron	L5_ET	45.945945945945944
sst.GABAergic.cortical.interneuron	L2.3_IT	41.0958904109589
sst.GABAergic.cortical.interneuron	Endo	38.23529411764706
sst.GABAergic.cortical.interneuron	Astro	42.10526315789474
sst.GABAergic.cortical.interneuron	Chandelier	60.0
sst.GABAergic.cortical.interneuron	OPC	61.904761904761905
sst.GABAergic.cortical.interneuron	Lamp5_Lhx6	68.57142857142857
sst.GABAergic.cortical.interneuron	Immune	30.303030303030305
sst.GABAergic.cortical.interneuron	PC	44.11764705882353
sst.GABAergic.cortical.interneuron	Oligo	53.48837209302326
sst.GABAergic.cortical.interneuron	L6_CT	3.8461538461538463
sst.GABAergic.cortical.interneuron	Sncg	66.66666666666667
sst.GABAergic.cortical.interneuron	L6_IT_Car3	9.469696969696969
