ct_sc_pipeline	ct_author	percent_overlap
vascular.leptomeningeal.cell	Micro	0.0
vascular.leptomeningeal.cell	Sst	
vascular.leptomeningeal.cell	Pax6	
vascular.leptomeningeal.cell	VLMC	
vascular.leptomeningeal.cell	Vip	
vascular.leptomeningeal.cell	L5_ET	0.0
vascular.leptomeningeal.cell	L2.3_IT	0.0
vascular.leptomeningeal.cell	Endo	
vascular.leptomeningeal.cell	Astro	0.0
vascular.leptomeningeal.cell	Chandelier	
vascular.leptomeningeal.cell	OPC	0.0
vascular.leptomeningeal.cell	Lamp5_Lhx6	
vascular.leptomeningeal.cell	Immune	
vascular.leptomeningeal.cell	PC	
vascular.leptomeningeal.cell	Oligo	0.0
vascular.leptomeningeal.cell	L6_CT	
vascular.leptomeningeal.cell	Sncg	
vascular.leptomeningeal.cell	L6_IT_Car3	
vascular.leptomeningeal.cell	L5.6_NP	
vascular.leptomeningeal.cell	SMC	
vascular.leptomeningeal.cell	Sst_Chodl	
vascular.leptomeningeal.cell	Pvalb	
vascular.leptomeningeal.cell	L6_IT	
vascular.leptomeningeal.cell	L5_IT	
vascular.leptomeningeal.cell	Lamp5	
vascular.leptomeningeal.cell	L6b	
vascular.leptomeningeal.cell	L4_IT	
sst.GABAergic.cortical.interneuron	Micro	0.0
sst.GABAergic.cortical.interneuron	Sst	
sst.GABAergic.cortical.interneuron	Pax6	
sst.GABAergic.cortical.interneuron	VLMC	
sst.GABAergic.cortical.interneuron	Vip	
sst.GABAergic.cortical.interneuron	L5_ET	0.0
sst.GABAergic.cortical.interneuron	L2.3_IT	0.0
sst.GABAergic.cortical.interneuron	Endo	
sst.GABAergic.cortical.interneuron	Astro	0.0
sst.GABAergic.cortical.interneuron	Chandelier	
sst.GABAergic.cortical.interneuron	OPC	0.0
sst.GABAergic.cortical.interneuron	Lamp5_Lhx6	
sst.GABAergic.cortical.interneuron	Immune	
sst.GABAergic.cortical.interneuron	PC	
sst.GABAergic.cortical.interneuron	Oligo	0.0
sst.GABAergic.cortical.interneuron	L6_CT	
sst.GABAergic.cortical.interneuron	Sncg	
sst.GABAergic.cortical.interneuron	L6_IT_Car3	
sst.GABAergic.cortical.interneuron	L5.6_NP	
sst.GABAergic.cortical.interneuron	SMC	
sst.GABAergic.cortical.interneuron	Sst_Chodl	
sst.GABAergic.cortical.interneuron	Pvalb	
sst.GABAergic.cortical.interneuron	L6_IT	
sst.GABAergic.cortical.interneuron	L5_IT	
sst.GABAergic.cortical.interneuron	Lamp5	
sst.GABAergic.cortical.interneuron	L6b	
sst.GABAergic.cortical.interneuron	L4_IT	
lamp5.GABAergic.cortical.interneuron	Micro	0.0
lamp5.GABAergic.cortical.interneuron	Sst	
lamp5.GABAergic.cortical.interneuron	Pax6	
lamp5.GABAergic.cortical.interneuron	VLMC	
lamp5.GABAergic.cortical.interneuron	Vip	
lamp5.GABAergic.cortical.interneuron	L5_ET	0.0
lamp5.GABAergic.cortical.interneuron	L2.3_IT	0.0
lamp5.GABAergic.cortical.interneuron	Endo	
lamp5.GABAergic.cortical.interneuron	Astro	0.0
lamp5.GABAergic.cortical.interneuron	Chandelier	
lamp5.GABAergic.cortical.interneuron	OPC	0.0
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	
lamp5.GABAergic.cortical.interneuron	Immune	
lamp5.GABAergic.cortical.interneuron	PC	
lamp5.GABAergic.cortical.interneuron	Oligo	0.0
lamp5.GABAergic.cortical.interneuron	L6_CT	
lamp5.GABAergic.cortical.interneuron	Sncg	
lamp5.GABAergic.cortical.interneuron	L6_IT_Car3	
lamp5.GABAergic.cortical.interneuron	L5.6_NP	
lamp5.GABAergic.cortical.interneuron	SMC	
lamp5.GABAergic.cortical.interneuron	Sst_Chodl	
lamp5.GABAergic.cortical.interneuron	Pvalb	
lamp5.GABAergic.cortical.interneuron	L6_IT	
lamp5.GABAergic.cortical.interneuron	L5_IT	
lamp5.GABAergic.cortical.interneuron	Lamp5	
lamp5.GABAergic.cortical.interneuron	L6b	
lamp5.GABAergic.cortical.interneuron	L4_IT	
sncg.GABAergic.cortical.interneuron	Micro	0.0
sncg.GABAergic.cortical.interneuron	Sst	
sncg.GABAergic.cortical.interneuron	Pax6	
sncg.GABAergic.cortical.interneuron	VLMC	
sncg.GABAergic.cortical.interneuron	Vip	
sncg.GABAergic.cortical.interneuron	L5_ET	0.0
sncg.GABAergic.cortical.interneuron	L2.3_IT	0.0
sncg.GABAergic.cortical.interneuron	Endo	
sncg.GABAergic.cortical.interneuron	Astro	0.0
sncg.GABAergic.cortical.interneuron	Chandelier	
sncg.GABAergic.cortical.interneuron	OPC	0.0
sncg.GABAergic.cortical.interneuron	Lamp5_Lhx6	
sncg.GABAergic.cortical.interneuron	Immune	
sncg.GABAergic.cortical.interneuron	PC	
sncg.GABAergic.cortical.interneuron	Oligo	0.0
sncg.GABAergic.cortical.interneuron	L6_CT	
sncg.GABAergic.cortical.interneuron	Sncg	
sncg.GABAergic.cortical.interneuron	L6_IT_Car3	
sncg.GABAergic.cortical.interneuron	L5.6_NP	
sncg.GABAergic.cortical.interneuron	SMC	
sncg.GABAergic.cortical.interneuron	Sst_Chodl	
sncg.GABAergic.cortical.interneuron	Pvalb	
sncg.GABAergic.cortical.interneuron	L6_IT	
sncg.GABAergic.cortical.interneuron	L5_IT	
sncg.GABAergic.cortical.interneuron	Lamp5	
sncg.GABAergic.cortical.interneuron	L6b	
sncg.GABAergic.cortical.interneuron	L4_IT	
microglial.cell	Micro	43.75
microglial.cell	Sst	0.0
microglial.cell	Pax6	0.0
microglial.cell	VLMC	0.0
microglial.cell	Vip	0.0
microglial.cell	L5_ET	0.0
microglial.cell	L2.3_IT	0.0
microglial.cell	Endo	0.0
microglial.cell	Astro	0.0
microglial.cell	Chandelier	0.0
microglial.cell	OPC	0.0
microglial.cell	Lamp5_Lhx6	0.0
microglial.cell	Immune	0.0
microglial.cell	PC	0.0
microglial.cell	Oligo	0.0
microglial.cell	L6_CT	0.0
microglial.cell	Sncg	0.0
microglial.cell	L6_IT_Car3	0.0
microglial.cell	L5.6_NP	0.0
microglial.cell	SMC	0.0
microglial.cell	Sst_Chodl	0.0
microglial.cell	Pvalb	0.0
microglial.cell	L6_IT	0.0
microglial.cell	L5_IT	0.0
microglial.cell	Lamp5	0.0
microglial.cell	L6b	0.0
microglial.cell	L4_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Micro	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Sst	
corticothalamic.projecting.glutamatergic.cortical.neuron	Pax6	
corticothalamic.projecting.glutamatergic.cortical.neuron	VLMC	
corticothalamic.projecting.glutamatergic.cortical.neuron	Vip	
corticothalamic.projecting.glutamatergic.cortical.neuron	L5_ET	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L2.3_IT	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Endo	
corticothalamic.projecting.glutamatergic.cortical.neuron	Astro	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Chandelier	
corticothalamic.projecting.glutamatergic.cortical.neuron	OPC	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	Lamp5_Lhx6	
corticothalamic.projecting.glutamatergic.cortical.neuron	Immune	
corticothalamic.projecting.glutamatergic.cortical.neuron	PC	
corticothalamic.projecting.glutamatergic.cortical.neuron	Oligo	0.0
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_CT	
corticothalamic.projecting.glutamatergic.cortical.neuron	Sncg	
corticothalamic.projecting.glutamatergic.cortical.neuron	L6_IT_Car3	
