ct_sc_pipeline	ct_author	percent_overlap
vascular.leptomeningeal.cell	Micro	0.0
vascular.leptomeningeal.cell	Sst	0.0
vascular.leptomeningeal.cell	Pax6	0.0
vascular.leptomeningeal.cell	VLMC	0.0
vascular.leptomeningeal.cell	Vip	0.0
vascular.leptomeningeal.cell	L5_ET	0.0
vascular.leptomeningeal.cell	L2.3_IT	0.0
vascular.leptomeningeal.cell	Endo	0.0
vascular.leptomeningeal.cell	Astro	0.0
vascular.leptomeningeal.cell	Chandelier	0.0
vascular.leptomeningeal.cell	OPC	0.0
vascular.leptomeningeal.cell	Lamp5_Lhx6	0.0
vascular.leptomeningeal.cell	Immune	0.0
vascular.leptomeningeal.cell	PC	0.0
vascular.leptomeningeal.cell	Oligo	0.0
vascular.leptomeningeal.cell	L6_CT	0.0
vascular.leptomeningeal.cell	Sncg	0.0
vascular.leptomeningeal.cell	L6_IT_Car3	0.0
vascular.leptomeningeal.cell	L5.6_NP	0.0
vascular.leptomeningeal.cell	SMC	0.0
vascular.leptomeningeal.cell	Sst_Chodl	0.0
vascular.leptomeningeal.cell	Pvalb	0.0
vascular.leptomeningeal.cell	L6_IT	0.0
vascular.leptomeningeal.cell	L5_IT	0.0
vascular.leptomeningeal.cell	Lamp5	0.0
vascular.leptomeningeal.cell	L6b	0.0
vascular.leptomeningeal.cell	L4_IT	0.0
sst.GABAergic.cortical.interneuron	Micro	0.0
sst.GABAergic.cortical.interneuron	Sst	61.29032258064516
sst.GABAergic.cortical.interneuron	Pax6	0.0
sst.GABAergic.cortical.interneuron	VLMC	0.0
sst.GABAergic.cortical.interneuron	Vip	12.121212121212121
sst.GABAergic.cortical.interneuron	L5_ET	3.3333333333333335
sst.GABAergic.cortical.interneuron	L2.3_IT	6.696428571428571
sst.GABAergic.cortical.interneuron	Endo	0.0
sst.GABAergic.cortical.interneuron	Astro	0.7936507936507936
sst.GABAergic.cortical.interneuron	Chandelier	0.0
sst.GABAergic.cortical.interneuron	OPC	2.9702970297029703
sst.GABAergic.cortical.interneuron	Lamp5_Lhx6	5.882352941176471
sst.GABAergic.cortical.interneuron	Immune	0.0
sst.GABAergic.cortical.interneuron	PC	0.0
sst.GABAergic.cortical.interneuron	Oligo	3.225806451612903
sst.GABAergic.cortical.interneuron	L6_CT	5.2631578947368425
sst.GABAergic.cortical.interneuron	Sncg	6.451612903225806
sst.GABAergic.cortical.interneuron	L6_IT_Car3	9.433962264150944
sst.GABAergic.cortical.interneuron	L5.6_NP	0.0
sst.GABAergic.cortical.interneuron	SMC	0.0
sst.GABAergic.cortical.interneuron	Sst_Chodl	0.0
sst.GABAergic.cortical.interneuron	Pvalb	6.7164179104477615
sst.GABAergic.cortical.interneuron	L6_IT	5.932203389830509
sst.GABAergic.cortical.interneuron	L5_IT	5.343511450381679
sst.GABAergic.cortical.interneuron	Lamp5	6.451612903225806
sst.GABAergic.cortical.interneuron	L6b	11.475409836065573
sst.GABAergic.cortical.interneuron	L4_IT	10.714285714285714
lamp5.GABAergic.cortical.interneuron	Micro	0.0
lamp5.GABAergic.cortical.interneuron	Sst	9.090909090909092
lamp5.GABAergic.cortical.interneuron	Pax6	0.0
lamp5.GABAergic.cortical.interneuron	VLMC	0.0
lamp5.GABAergic.cortical.interneuron	Vip	5.825242718446602
lamp5.GABAergic.cortical.interneuron	L5_ET	0.0
lamp5.GABAergic.cortical.interneuron	L2.3_IT	3.493449781659389
lamp5.GABAergic.cortical.interneuron	Endo	0.0
lamp5.GABAergic.cortical.interneuron	Astro	0.0
lamp5.GABAergic.cortical.interneuron	Chandelier	0.0
lamp5.GABAergic.cortical.interneuron	OPC	3.0303030303030303
lamp5.GABAergic.cortical.interneuron	Lamp5_Lhx6	17.24137931034483
lamp5.GABAergic.cortical.interneuron	Immune	0.0
lamp5.GABAergic.cortical.interneuron	PC	0.0
lamp5.GABAergic.cortical.interneuron	Oligo	3.4482758620689653
lamp5.GABAergic.cortical.interneuron	L6_CT	1.7543859649122806
lamp5.GABAergic.cortical.interneuron	Sncg	6.896551724137931
lamp5.GABAergic.cortical.interneuron	L6_IT_Car3	7.6923076923076925
lamp5.GABAergic.cortical.interneuron	L5.6_NP	0.0
lamp5.GABAergic.cortical.interneuron	SMC	0.0
